,Question,Right,Wrong
319,"Who wrote ""The Cat in the Hat""?",Dr. Seuss,Roald Dahl
320,"What is the name of the elephant in ""Horton Hears a Who""?",Horton,Dumbo
321,"What kind of animal is Stuart in ""Stuart Little""?",Mouse,Hamster
322,"Who wrote ""Little House on the Prairie""?",Laura Ingalls Wilder,Beverly Cleary
323,"What kind of animal is the character Ratty in ""The Wind in the Willows""?",Rat,Squirrel
324,"Who wrote ""The Wind in the Willows""?",Kenneth Grahame,J.R.R. Tolkien
325,What is the name of the children's book about a caterpillar who eats a lot of food?,The Very Hungry Caterpillar,The Busy Bee
326,"What is the name of the mythical creature who guards a pile of gold in ""The Hobbit""?",Smaug the dragon,The Loch Ness Monster
327,What is the name of the prince who wakes up Sleeping Beauty with a kiss?,Prince Charming,Prince Harry
328,"Who wrote ""Matilda""?",Roald Dahl,Candace Bushnell
329,What happens to Pinocchio when he tells a lie?,His nose grows longer.,Nothing happens.
330,"What is the name of the boy in ""The Giving Tree""?",There is no given name.,Timmy
331,"What kind of food does the character Sam-I-Am keep offering in ""Green Eggs and Ham""?",Green eggs and ham,Pizza
332,"What is the name of the farm in ""Animal Farm""?",Manor Farm,Old McDonald's Farm
333,"What is the name of the girl who goes to Wonderland in ""Alice's Adventures in Wonderland""?",Alice,Dorothy
334,"Who wrote ""The Giving Tree""?",Shel Silverstein,Judy Blume
335,"What is the name of the giant in ""Jack and the Beanstalk""?",There is no given name.,The Grinch
336,"What is the name of the boy who visits a chocolate factory in ""Charlie and the Chocolate Factory""?",Charlie Bucket,Billy Butterball
337,"Who wrote ""The Polar Express""?",Chris Van Allsburg,J.K. Rowling
338,"What is the name of the pirate in ""Peter Pan""?",Captain Hook,Blackbeard
339,"What is the name of the boy who befriends a spider in ""Charlotte's Web""?",Wilbur,Charlotte
340,What is a sport?,A physical activity that people do for fun or competition.,TV watching.
341,What is a ball?,"A round object that can be thrown, kicked, or hit in some sports.",A square object.
342,What is soccer?,A sport played with a ball using feet to kick it into a goal.,A sport played with a ball using hands to throw it into a goal.
343,What is basketball?,A sport in which two teams try to score points by throwing a ball through a hoop.,A sport in which two teams try to hit a ball with a bat.
344,What is baseball?,A sport played with a bat and ball.,A sport played with a puck and ice skates.
345,What is gymnastics?,"A sport that involves exercises that require balance, strength, flexibility, and control.",A sport that involves running fast and throwing a ball.
346,What is swimming?,A sport in which the body is propelled through water.,A sport in which the body is propelled through air.
347,What is football?,"A sport played with an oval-shaped ball, two teams try to score points by getting the ball into the end zone.","A sport played with a ball, two teams try to score points by kicking it between two posts."
348,What is snowboarding?,A sport that involves sliding down a snow-covered mountain on a board.,A sport that involves sliding down a water-covered mountain on a surfboard.
349,What is track and field?,"A sport that includes running, jumping, and throwing.",A sport that includes sitting and watching.
350,What is tennis?,A sport in which players use rackets to hit a ball over a net and into the opponent's court.,A sport in which players use their hands to catch a ball.
351,What is hockey?,"A sport played on ice or in a field, with sticks and a puck used to score goals.",A sport played with a ball and rackets.
352,What is surfing?,A water sport in which athletes ride waves on a board.,A water sport in which athletes dive deep under the water.
353,What is running?,Moving quickly using your feet.,Moving slowly on your hands.
354,What is skating?,Moving on ice or on wheels.,Moving in slow motion.
355,What is stretching?,Preparing your body for exercise by moving your limbs.,Lying down and relaxing.
356,What is jumping?,Pushing off the ground with your feet and going up into the air.,Standing still on one foot.
357,What is balancing?,Keeping your body stable and not falling down.,Running fast and not stopping.
358,What is warming up?,Preparing your body for exercise with light activity.,Going to sleep.
359,What is cooling down?,Gradually ending an exercise session with light activity.,Sprinting at full speed.
360,What is golf?,"A sport played on a grassy area with a small ball and clubs, putting the ball in holes on the course.",A sport played with a big ball in a pool.
361,What is archery?,A sport where people shoot arrows at targets with a bow.,A sport where people throw hoops.
362,What is karate?,A sport and martial art in which people fight with their hands and feet.,A sport where people run backwards.
363,What is wrestling?,A sport in which two individuals try to throw each other on the ground.,A sport in which individuals race on bikes.
364,What is kickboxing?,A sport that combines kicking and punching techniques from martial arts with boxing.,A sport that involves hitting a pinata.
365,What is weightlifting?,A sport in which people lift heavy weights to build strength.,A sport in which people lift helium balloons.
366,What is cycling?,A sport in which people ride bicycles for exercise or competition.,A sport in which people ride horses.
367,What is mountain climbing?,A sport in which people climb mountains for exercise or adventure.,A sport in which people climb trees.
368,What is skating?,A sport in which people glide on ice or on wheels.,A sport in which people move on their hands and knees.
369,What is bowling?,A sport in which people roll a ball down a lane and try to knock over pins.,A sport in which people throw a ball into a hoop.
370,What is fishing?,A sport in which people catch fish using bait and hooks.,A sport in which people run on the beach.
371,What is boxing?,A sport in which two individuals fight with their fists while wearing gloves.,A sport in which two individuals race on a track.
372,What is a referee?,A person who makes sure the rules of the game are followed and punishes those who break them.,A person who plays the game on a team.
373,What is a coach?,A person who helps athletes improve their skills and leads a team.,A person who plays the game on a team.
374,What is a teammate?,A person who plays on the same team as you.,A person who plays on the other team.
375,What is a goal?,A place or object that needs to be reached or hit in order to score points.,A place where you take a nap.
376,What is a trophy?,A reward or prize given to winners of a sport.,A type of candy.
377,What is a ball pit?,A pit filled with plastic balls that kids jump into for fun.,A pit filled with mud.
378,What is a scoreboard?,A board that shows the scores of a game.,A board that shows the time of day.
379,What is a helmet?,A piece of protective gear that is worn on the head during certain sports.,A type of fruit.
380,What is a bat?,"A long, thin object used to hit a ball in certain sports.",A type of bird.
